1675196825.983156 client started (15929): version 3.3a, socket /private/tmp/tmux-501/default, protocol 8
1675196825.983238 on Darwin 20.6.0 Darwin Kernel Version 20.6.0: Sun Nov  6 23:17:00 PST 2022; root:xnu-7195.141.46~1/RELEASE_X86_64
1675196825.983271 using libevent 2.1.12-stable (select); utf8proc 2.8.0; ncurses 6.4
1675196826.003581 sending message 105 to peer 0x7fd868d31000 (22 bytes)
1675196826.003592 sending message 105 to peer 0x7fd868d31000 (15 bytes)
1675196826.003601 sending message 105 to peer 0x7fd868d31000 (196 bytes)
1675196826.003611 sending message 105 to peer 0x7fd868d31000 (66 bytes)
1675196826.003621 sending message 105 to peer 0x7fd868d31000 (15 bytes)
1675196826.003630 sending message 105 to peer 0x7fd868d31000 (19 bytes)
1675196826.003664 sending message 105 to peer 0x7fd868d31000 (38 bytes)
1675196826.003674 sending message 105 to peer 0x7fd868d31000 (57 bytes)
1675196826.003684 sending message 105 to peer 0x7fd868d31000 (19 bytes)
1675196826.003693 sending message 105 to peer 0x7fd868d31000 (14 bytes)
1675196826.003703 sending message 105 to peer 0x7fd868d31000 (39 bytes)
1675196826.003714 sending message 105 to peer 0x7fd868d31000 (20 bytes)
1675196826.003724 sending message 105 to peer 0x7fd868d31000 (28 bytes)
1675196826.003733 sending message 105 to peer 0x7fd868d31000 (17 bytes)
1675196826.003744 sending message 105 to peer 0x7fd868d31000 (20 bytes)
1675196826.003754 sending message 105 to peer 0x7fd868d31000 (103 bytes)
1675196826.003764 sending message 105 to peer 0x7fd868d31000 (124 bytes)
1675196826.003772 sending message 105 to peer 0x7fd868d31000 (63 bytes)
1675196826.003786 sending message 105 to peer 0x7fd868d31000 (120 bytes)
1675196826.003796 sending message 105 to peer 0x7fd868d31000 (98 bytes)
1675196826.003806 sending message 105 to peer 0x7fd868d31000 (19 bytes)
1675196826.003816 sending message 105 to peer 0x7fd868d31000 (22 bytes)
1675196826.003825 sending message 105 to peer 0x7fd868d31000 (27 bytes)
1675196826.003833 sending message 105 to peer 0x7fd868d31000 (48 bytes)
1675196826.003844 sending message 105 to peer 0x7fd868d31000 (20 bytes)
1675196826.003854 sending message 105 to peer 0x7fd868d31000 (8 bytes)
1675196826.003862 sending message 105 to peer 0x7fd868d31000 (51 bytes)
1675196826.003872 sending message 105 to peer 0x7fd868d31000 (48 bytes)
1675196826.003883 sending message 105 to peer 0x7fd868d31000 (7 bytes)
1675196826.003893 sending message 105 to peer 0x7fd868d31000 (11 bytes)
1675196826.003901 sending message 105 to peer 0x7fd868d31000 (56 bytes)
1675196826.003911 sending message 105 to peer 0x7fd868d31000 (14 bytes)
1675196826.003921 sending message 105 to peer 0x7fd868d31000 (41 bytes)
